RHS,R,G,B,L,a,b,L2,C,h
1A,233,228,93,89,-14,64,89,66,103
1B,229,228,109,88,-15,57,88,59,105
1C,235,234,159,91,-10,36,91,37,106
1D,242,236,177,93,-7,29,93,29,103
2A,244,229,85,90,-11,69,90,69,99
2B,240,231,110,90,-12,59,90,60,101
2C,243,239,164,93,-9,36,93,37,104
2D,244,234,184,93,-4,25,92,25,99
3A,247,230,86,90,-10,69,90,70,98
3B,243,231,103,91,-11,62,91,63,100
3C,245,235,144,92,-9,45,92,45,101
3D,248,238,170,94,-6,34,94,34,101
4A,247,232,113,91,-9,58,91,59,99
4B,248,238,139,93,-10,48,93,49,101
4C,246,236,163,93,-7,36,93,36,101
4D,248,235,201,93,-1,17,93,17,92
5A,246,225,81,89,-8,70,89,70,97
5B,250,230,89,91,-9,68,91,69,97
5C,249,234,126,92,-8,53,92,54,99
5D,249,233,166,92,-4,34,92,34,96
6A,253,226,71,90,-6,74,90,74,95
6B,253,227,84,90,-6,70,90,70,95
6C,253,229,106,91,-6,61,91,61,95
6D,250,232,157,92,-4,38,92,38,96
7A,246,215,60,86,-5,75,86,75,93
7B,251,223,91,89,-5,66,89,66,94
7C,252,228,97,90,-6,65,90,65,96
7D,248,232,128,91,-8,52,91,52,98
8A,253,227,99,90,-5,64,90,64,95
8B,253,230,127,91,-5,52,91,52,95
8C,251,231,158,92,-3,37,92,38,95
8D,247,233,196,93,-1,19,93,19,92
9A,255,222,56,89,-4,78,89,78,93
9B,255,223,76,89,-4,72,89,72,93
9C,255,229,118,91,-4,56,91,56,94
9D,250,231,174,92,-1,29,92,29,93
10A,252,225,119,90,-3,54,90,54,93
10B,250,226,136,90,-3,46,90,46,94
10C,249,228,156,91,-2,37,91,37,94
10D,249,233,190,93,-1,22,93,22,92
11A,249,213,104,86,0,57,86,57,90
11B,246,218,142,88,0,40,88,40,90
11C,247,224,173,90,1,27,90,27,88
11D,248,232,210,93,3,12,93,12,79
12A,257,217,67,88,0,74,88,74,90
12B,256,224,97,90,-3,64,90,64,92
12C,253,225,137,90,-1,46,90,46,92
12D,253,228,176,92,1,28,91,28,87
13A,260,208,60,86,6,74,86,75,86
13B,258,213,85,87,3,66,87,66,87
13C,256,219,112,88,1,56,88,56,89
13D,250,229,186,92,1,23,92,23,87
14A,260,204,27,85,7,82,85,83,86
14B,260,206,45,85,6,79,85,79,86
14C,258,218,115,89,2,55,89,55,88
14D,252,223,157,90,1,35,90,35,88
15A,260,198,53,83,10,75,83,75,82
15B,261,208,78,86,7,68,86,69,85
15C,261,209,91,86,7,63,86,63,84
15D,258,220,136,89,3,45,89,45,86
16A,263,201,73,85,10,69,85,70,81
16B,262,211,111,87,7,55,87,55,82
16C,259,217,129,89,5,48,88,48,85
16D,253,223,162,90,3,33,90,33,86
17A,256,181,-14,79,16,83,79,84,79
17B,265,196,26,83,13,82,83,83,81
17C,263,202,54,85,9,76,85,76,83
17D,257,213,123,87,5,50,87,50,84
18A,260,215,124,88,6,50,88,50,84
18B,257,222,166,90,5,31,90,31,81
