UPOVGroup,RHS,english,français,deutsch,español
6,1A,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
6,1B,medium yellow green,vert-jaune moyen,mittelgelbgrün,verde amarillento medio
5,1C,light yellow green,vert-jaune clair,hellgelbgrün,verde amarillento claro
16,1D,light yellow,jaune clair,hellgelb,amarillo claro
17,2A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,2B,medium yellow,jaune moyen,mittelgelb,amarillo medio
5,2C,light yellow green,vert-jaune clair,hellgelbgrün,verde amarillento claro
16,2D,light yellow,jaune clair,hellgelb,amarillo claro
17,3A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,3B,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,3C,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,3D,light yellow,jaune clair,hellgelb,amarillo claro
17,4A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,4B,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,4C,light yellow,jaune clair,hellgelb,amarillo claro
16,4D,light yellow,jaune clair,hellgelb,amarillo claro
17,5A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,5B,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,5C,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,5D,light yellow,jaune clair,hellgelb,amarillo claro
17,6A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,6B,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,6C,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,6D,light yellow,jaune clair,hellgelb,amarillo claro
17,7A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,7B,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,7C,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,7D,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,8A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,8B,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,8C,light yellow,jaune clair,hellgelb,amarillo claro
16,8D,light yellow,jaune clair,hellgelb,amarillo claro
17,9A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,9B,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,9C,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,9D,light yellow,jaune clair,hellgelb,amarillo claro
17,10A,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,10B,light yellow,jaune clair,hellgelb,amarillo claro
16,10C,light yellow,jaune clair,hellgelb,amarillo claro
16,10D,light yellow,jaune clair,hellgelb,amarillo claro
20,11A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
16,11B,light yellow,jaune clair,hellgelb,amarillo claro
16,11C,light yellow,jaune clair,hellgelb,amarillo claro
19,11D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
17,12A,medium yellow,jaune moyen,mittelgelb,amarillo medio
17,12B,medium yellow,jaune moyen,mittelgelb,amarillo medio
16,12C,light yellow,jaune clair,hellgelb,amarillo claro
16,12D,light yellow,jaune clair,hellgelb,amarillo claro
18,13A,dark yellow,jaune foncé,dunkelgelb,amarillo oscuro
20,13B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,13C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
16,13D,light yellow,jaune clair,hellgelb,amarillo claro
18,14A,dark yellow,jaune foncé,dunkelgelb,amarillo oscuro
18,14B,dark yellow,jaune foncé,dunkelgelb,amarillo oscuro
20,14C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
16,14D,light yellow,jaune clair,hellgelb,amarillo claro
18,15A,dark yellow,jaune foncé,dunkelgelb,amarillo oscuro
20,15B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,15C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
16,15D,light yellow,jaune clair,hellgelb,amarillo claro
20,16A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,16B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,16C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
16,16D,light yellow,jaune clair,hellgelb,amarillo claro
20,17A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,17B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,17C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,17D,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,18A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
19,18B,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,18C,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,18D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
20,19A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
19,19B,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,19C,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,19D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
20,20A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,20B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
19,20C,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
19,20D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
20,21A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,21B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,21C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,21D,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
21,22A,dark yellow orange,orange-jaune foncé,dunkelgelborange,naranja amarillento oscuro
20,22B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,22C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
19,22D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
20,23A,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,23B,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
20,23C,medium yellow orange,orange-jaune moyen,mittelgelborange,naranja amarillento medio
19,23D,light yellow orange,orange-jaune clair,hellgelborange,naranja amarillento claro
23,24A,medium orange,orange moyen,mittelorange,naranja medio
22,24B,light orange,orange clair,hellorange,naranja claro
22,24C,light orange,orange clair,hellorange,naranja claro
22,24D,light orange,orange clair,hellorange,naranja claro
